Review,Class
primera noche encontramos habitacion nido cinco cucarachas muertas alfombra suciaque cierto nunca limpiaron reclamamos cena fin ano bufete acabo tremendo desorden excesivo numero mesas vendidas podia caminar ir servirte comida luego encontrarte bandejas vacias esposa pareja cenamos encontramos puras bandejas vaciaspagamos dos mil ochocientos pesos pareja servicio restaurante pesimo pesimopesimose tardaron muchisimo tiempo atendernos trajeron desayuno partes nunca dieron cafe pedimos llegamosun pesimo servicio frigobar vacio despues reclamar surtieron perox0085,1
calle catedral platillos tradicionales tipo gourmet buen sabor calidad si bien ofrecen carta platillos mas representativos cada temporada mole caderas poblano chinicuiles chiles nogada escamoles cemitas principalmente degustacion nomas,4
porciones miserables agua sabor cloro distraidos meseros llena expectativas mejores opciones,2
cartagena encanta todas ciudades coloniales visitado mas linda mejor conservada recomiendo recorrerla dia noche visiones distintas vale pena vivir llena vida tiendas restaurantes colorida vibrante calles rincones cada momento guardan sorpresa calificacion habria sido excelente sino detalles deberian mejorar lamentablemente falta preocupacion limpieza calles problema repite resto ciudad mejoramiento alcantarillados aguas servidas ademas estrechez calles deberian habilitar vias exclusivas peatones,3
ibamos mucha ilusion disfrutar espectaculo luz sonido verdad decepcionote ubican esquina entrada ruinasy centro puedes apreciar casi nadalas personas paran tomar fotografias debido alcanza ver si sentadoal inicio final espectaculo dejan prendidas luces puedas tomar fotografias contrario queda obscuridad personas tercera edad problemas salir pues iluminan camino salida deberian poner aunque unas antorchas iluminarla verdad recomiendo pena maravilla chichen itza espectaculo tan carente,4
sabado doce once dos mil dieciseis llegas personal peor trato saben ingles parecer tampoco espanol cinco veces preguntaron si reservacion alli si despues tres cuatro vez preguntaron respuesta seria diferente mas comprobe boucher intinerario pago sabian reservacion decian dentro mes obvio error nunca admitieron llegue doce pm encontraron habitacion 1pm prometieron tenerla despues tres pm debido ocupacion tenian hotel precios lujo trato peor hablar tres recepcionistas nadie podia hacer gerente nunca llego supervisor nunca aparecio simplemente volteaban lado cada ves poreguntaba habitacion practicamente cuatro horas perdidas dia pudo recuperar restaurantes meseros sobretodo manana volteaban lado momento pedir servcio mas desocupado lugar ofrecian mesa si ven unidense pasar alfombra roja tendian entiendo pasi zona especial tan mal trato propios paisanos totalmente desagradable experiencia hotel recomendable si mexico playa dice internet trasladar hotel,1
excelente hotel muchas atracciones alrededor habitaciones comodas limpias lobby hotel siempre cafe algun tipo jugo huespedes personal mejor amables regrese merida siempre sera casa personal chica limpia manager hotel siempre estan dispuestos ayudar huespedes mil gracias todas atenciones siempre recomendare hotel john velez,5
ayer unas amigas cenar vivimos aqui vallarta turistas trataron mal aunque vestiamos mejor chica recibe entrada trato fatal aunque comida bien hicieron show flambeado fajitas presencia hicieron turistas alrededor ademas preguntarle mesero dicen si hizo vieron cara tontas dicen mentira pues ninguna vio hacer mas plato tan caliente debia estarlo si hecho momento verdad provocaba dejar propina embargo hicimos pregunta sera piensan podemos pagar si vuelvo queria ir esposo quitaron ganas,3
personal recepcion grosero desinteresado camareras camareros personal fabuloso hotel precioso instalaciones accesorios caen pedazos habana necesidades millon dolares poner justo limpieza carlos genial dejaron toallas modelos cada dia gustado ver fotos coches clasicos ver fotos mito realmente cubos oxido cuba lugar mas caro visitado ten cuidado cuesta incluso lindas fotos si trad vestidas gente calle tomar fotosestoy casi sesenta nunca volver nuevo vida llevara diez anos miles millones dolares restaurar ciudad beautifil,5
bueno barato lujo perfecta ubicacion vieja habana vistas increibles esperes lujo buen lugar dormir buen desayuno impresionante vista malecon estaras bien lugar habana nuevo perfectas agradable alojaria aqui nuevo,4
